timestamp,presence,distance,angle,speed,x,y
2026-02-09 15:54:52,1,334.90297102295165,7.549421768263273,0,44,332
2026-02-09 15:54:53,1,339.3287491504367,5.072132872514503,0,30,338
2026-02-09 15:54:53,1,353.1147122395214,-1.4604825118436444,0,-9,353
2026-02-09 15:54:54,1,327.11618730964693,4.7345501575505455,0,27,326
2026-02-09 15:54:54,1,399.00125313086426,-0.14359814423120423,0,-1,399
2026-02-09 15:54:55,1,415.5538472929832,-6.355417836307021,0,-46,413
2026-02-09 15:54:55,1,588.9957555025333,-19.850131351279646,0,-200,554
2026-02-09 15:54:56,1,951.3243400649434,-25.730051920688876,8,-413,857
2026-02-09 15:54:56,1,911.873894790283,-26.368352363469345,-8,-405,817
2026-02-09 15:54:57,1,793.8041320124254,-26.56505117707799,-8,-355,710
2026-02-09 15:54:57,1,709.2897856306687,-26.27604591307257,0,-314,636
2026-02-09 15:54:58,1,610.4498341387276,-23.457399544913947,8,-243,560
2026-02-09 15:54:58,1,526.2746431284714,-24.47098533959046,8,-218,479
2026-02-09 15:54:59,1,462.2034184209373,-23.45902408146156,-8,-184,424
2026-02-09 15:54:59,1,411.5337167231866,-25.319686910309642,-24,-176,372
2026-02-09 15:55:00,1,379.7288506289718,-27.442303155151286,0,-175,337
2026-02-09 15:55:00,1,338.6163020293028,-25.354224232315598,8,-145,306
2026-02-09 15:55:01,1,310.9340766143203,-23.101807194361008,32,-122,286
2026-02-09 15:55:01,1,309.0582469373694,-1.1123996162977923,16,-6,309
2026-02-09 15:55:02,1,348.73629005310016,21.70988275987124,8,129,324
2026-02-09 15:55:02,1,388.29112789246165,31.520500117130233,0,203,331
2026-02-09 15:55:03,1,434.4156995321417,30.579226872489016,39,221,374
2026-02-09 15:55:03,1,482.3028094465136,31.77871976827806,-16,254,410
2026-02-09 15:55:04,1,520.3383514598938,33.079261460077696,-16,284,436
2026-02-09 15:55:04,1,529.4534918196309,28.79182948069064,-32,255,464
2026-02-09 15:55:05,1,440.2635574289564,9.676271099772261,-24,74,434
2026-02-09 15:55:05,1,371.3812057711052,4.943010718613532,-8,32,370
2026-02-09 15:55:06,1,493.4146329406942,36.42863364605884,16,293,397
2026-02-09 15:55:06,1,706.0573631086925,48.15754966675745,-8,526,471
2026-02-09 15:55:07,1,747.4570221758573,51.62750624281617,-48,586,464
2026-02-09 15:55:07,1,710.715836322788,48.70790143984576,32,534,469
2026-02-09 15:55:08,1,714.9440537552572,44.26329961796899,32,499,512
2026-02-09 15:55:08,1,728.0858465867882,38.47545953530171,-24,453,570
2026-02-09 15:55:09,1,702.9096670269943,29.957199253946154,-32,351,609
2026-02-09 15:55:09,1,638.2429004697193,25.721936585093967,-48,277,575
2026-02-09 15:55:10,1,470.9787680989452,17.165337507447482,-16,139,450
2026-02-09 15:55:10,1,365.16845427829605,11.371474641021994,0,72,358
2026-02-09 15:55:11,1,318.9435686763412,9.019322431381683,-16,50,315
2026-02-09 15:55:11,1,301.93542355940946,7.995920446040161,8,42,299
2026-02-09 15:55:12,1,299.42110814035806,7.291159402943134,32,38,297
2026-02-09 15:55:12,1,342.1768548572507,1.8422116247674667,56,11,342
2026-02-09 15:55:13,1,513.5153357008921,2.567097492501513,64,23,513
2026-02-09 15:55:13,1,835.1347196710241,1.0291548043059813,32,15,835
2026-02-09 15:55:14,1,1031.1091115880995,-0.8335364312197967,8,-15,1031
2026-02-09 15:55:14,1,1078.363575052496,1.4878675288277787,-8,28,1078
2026-02-09 15:55:15,1,1086.5965212534043,1.8986123706588542,-24,36,1086
2026-02-09 15:55:15,1,1060.275907488235,2.8111326413265694,-64,52,1059
2026-02-09 15:55:16,1,1014.2820120656779,3.8441355762923846,-32,68,1012
2026-02-09 15:55:16,1,797.938594128646,7.561428427666961,0,105,791
2026-02-09 15:55:17,1,626.1629180971994,17.85622325731425,-8,192,596
2026-02-09 15:55:17,1,584.2781871677223,16.91527647726544,8,170,559
2026-02-09 15:55:18,1,551.5006799633161,20.373652649635133,0,192,517
2026-02-09 15:55:18,1,530.0283011311755,19.050273632858136,-16,173,501
2026-02-09 15:55:19,1,494.91918532220996,18.984092833487686,-79,161,468
2026-02-09 15:55:19,1,448.4829985629333,24.22192020822301,8,184,409
2026-02-09 15:55:20,1,443.1986010808247,29.167613379577798,-8,216,387
2026-02-09 15:55:20,1,458.2630249103674,32.61503076569291,0,247,386
2026-02-09 15:55:21,1,453.0397333567995,36.11105752157548,0,267,366
2026-02-09 15:55:21,1,478.87889909662965,40.34174589032439,0,310,365
2026-02-09 15:55:22,1,486.4123764872765,42.083522547932546,0,326,361
2026-02-09 15:55:22,1,503.491807281906,44.35625428582462,0,352,360
2026-02-09 15:55:23,1,509.8362482209361,45.3973291335447,0,363,358
2026-02-09 15:55:23,1,505.8428609756196,46.842445692409065,0,369,346
2026-02-09 15:59:30,1,406.20807475972214,51.29613502294118,-8,317,254
2026-02-09 15:59:31,1,426.1983106489278,51.38218204950484,8,333,266
2026-02-09 15:59:31,1,453.40158799898353,52.97845970996364,0,362,273
2026-02-09 15:59:32,1,490.6862541380184,54.204418285164174,0,398,287
2026-02-09 15:59:32,1,520.0240379059414,53.681006333374555,0,419,308
2026-02-09 15:59:33,1,548.0328457309836,53.75740334138157,0,442,324
2026-02-09 15:59:33,1,559.6543576172708,52.331535267856765,0,443,342
